Ad Account ID,Ad Account Name,Inicio del informe,Fin del informe,Nombre de la campaña,Alcance,Impresiones,Comentarios de la publicación,Conversaciones con mensajes iniciadas,Clics (todos),Búsquedas,Visitas a la página de destino,Visualizaciones de contenido,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Importe gastado (ARS)
"2,73E+19",Meta Ads,11/2/21,11/2/21,<OFF>  Tráfico [Alimentar Big Data],15726,15726,,,383,1,171,64,,,,,528
"2,73E+19",Meta Ads,12/2/21,12/2/21,<OFF>  Tráfico [Alimentar Big Data],14570,14641,,,385,3,164,69,4,2,1,5.052,455
"2,73E+19",Meta Ads,13/2/21,13/2/21,<OFF>  Tráfico [Alimentar Big Data],17402,17402,,,426,2,167,74,3,1,1,2.383,500
"2,73E+19",Meta Ads,14/2/21,14/2/21,<OFF>  Tráfico [Alimentar Big Data],19532,19751,,,572,6,216,95,,,,,698
"2,73E+19",Meta Ads,15/2/21,15/2/21,<OFF>  Tráfico [Alimentar Big Data],18296,18515,,,524,5,206,85,2,,,,569
"2,73E+19",Meta Ads,16/2/21,16/2/21,<OFF>  Tráfico [Alimentar Big Data],13588,14259,,,356,8,151,64,1,,,,405
"2,73E+19",Meta Ads,17/2/21,17/2/21,<OFF>  Tráfico [Alimentar Big Data],20098,20098,,,455,2,179,80,4,1,1,931,560
"2,73E+19",Meta Ads,18/2/21,18/2/21,<OFF>  Tráfico [Alimentar Big Data],10895,11248,,,282,5,105,80,13,3,1,6.100,567
"2,73E+19",Meta Ads,19/2/21,19/2/21,<OFF>  Tráfico [Alimentar Big Data],10856,11212,,,315,2,128,33,,,,,478
"2,73E+19",Meta Ads,20/2/21,20/2/21,<OFF>  Tráfico [Alimentar Big Data],13459,13814,,,341,1,144,63,2,,,,528
"2,73E+19",Meta Ads,21/2/21,21/2/21,<OFF>  Tráfico [Alimentar Big Data],14214,14214,,,389,1,185,82,1,,,,685
"2,73E+19",Meta Ads,22/2/21,22/2/21,<OFF>  Tráfico [Alimentar Big Data],14908,15140,,,397,,146,68,,,,,586
"2,73E+19",Meta Ads,23/2/21,23/2/21,<OFF>  Tráfico [Alimentar Big Data],15169,15347,,,400,,150,68,2,,,,585
"2,73E+19",Meta Ads,24/2/21,24/2/21,<OFF>  Tráfico [Alimentar Big Data],12084,12308,,,304,1,116,58,3,,,,500
"2,73E+19",Meta Ads,25/2/21,25/2/21,<OFF>  Tráfico [Alimentar Big Data],9775,9862,,,244,7,94,45,5,2,,,487
"2,73E+19",Meta Ads,25/2/21,25/2/21, Conversiones,645,863,,,37,,14,28,7,3,3,10.971,451
"2,73E+19",Meta Ads,26/2/21,26/2/21,<OFF>  Tráfico [Alimentar Big Data],11808,11808,,,318,3,132,76,4,,,,552
"2,73E+19",Meta Ads,26/2/21,26/2/21, Conversiones,717,989,,,32,,6,8,,1,,,414
"2,73E+19",Meta Ads,27/2/21,27/2/21,<OFF>  Tráfico [Alimentar Big Data],3968,3974,,,110,,42,19,1,,,,165
"2,73E+19",Meta Ads,27/2/21,27/2/21, Conversiones,551,632,,,28,2,5,13,1,1,,,119
"2,73E+19",Meta Ads,28/2/21,28/2/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,1,1,,,,0
"2,73E+19",Meta Ads,1/3/21,1/3/21,<OFF>  Tráfico [Alimentar Big Data],20264,20831,,,459,,182,62,6,2,1,4.152,617
"2,73E+19",Meta Ads,1/3/21,1/3/21, Conversiones,1538,2461,,,75,2,26,26,,,,,347
"2,73E+19",Meta Ads,2/3/21,2/3/21,<OFF>  Tráfico [Alimentar Big Data],6458,6484,,,141,,47,24,,,,,295
"2,73E+19",Meta Ads,2/3/21,2/3/21, Conversiones,670,812,,,33,1,12,33,4,1,,,217
"2,73E+19",Meta Ads,3/3/21,3/3/21,<OFF>  Tráfico [Alimentar Big Data],14730,15055,,,351,2,147,70,4,3,2,9.286,543
"2,73E+19",Meta Ads,3/3/21,3/3/21, Conversiones,1523,2208,,,67,16,15,38,6,3,2,7.546,359
"2,73E+19",Meta Ads,4/3/21,4/3/21,<OFF>  Tráfico [Alimentar Big Data],13599,13820,,,372,1,152,88,1,1,,,575
"2,73E+19",Meta Ads,4/3/21,4/3/21, Conversiones,1267,1855,,,44,4,10,44,4,1,,,308
"2,73E+19",Meta Ads,5/3/21,5/3/21,<OFF>  Tráfico [Alimentar Big Data],11656,12007,,,344,2,142,107,2,,,,574
"2,73E+19",Meta Ads,5/3/21,5/3/21, Conversiones,1206,1883,,,53,1,13,28,6,3,2,10.050,336
"2,73E+19",Meta Ads,6/3/21,6/3/21,<OFF>  Tráfico [Alimentar Big Data],8800,8894,,,253,1,98,79,2,2,1,2.366,512
"2,73E+19",Meta Ads,6/3/21,6/3/21, Conversiones,1040,1400,,,40,2,15,32,7,5,1,4.318,313
"2,73E+19",Meta Ads,7/3/21,7/3/21, Conversiones,0,0,,,0,3,1,18,,,,,0
"2,73E+19",Meta Ads,7/3/21,7/3/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,1,2,,,,,0
"2,73E+19",Meta Ads,8/3/21,8/3/21,<OFF>  Tráfico [Alimentar Big Data],13443,13547,,,328,3,117,76,3,3,,,583
"2,73E+19",Meta Ads,8/3/21,8/3/21, Conversiones,1372,1853,,,46,4,8,43,10,2,1,2.452,324
"2,73E+19",Meta Ads,9/3/21,9/3/21,<OFF>  Tráfico [Alimentar Big Data],14789,15203,,,351,15,127,73,3,,,,607
"2,73E+19",Meta Ads,9/3/21,9/3/21, Conversiones,1269,1913,,,50,5,12,51,5,3,,,361
"2,73E+19",Meta Ads,10/3/21,10/3/21,<OFF>  Tráfico [Alimentar Big Data],14034,14387,,,319,5,143,95,1,1,1,3.321,636
"2,73E+19",Meta Ads,10/3/21,10/3/21, Conversiones,1297,2054,,,46,11,15,56,8,5,4,19.737,365
"2,73E+19",Meta Ads,11/3/21,11/3/21,<OFF>  Tráfico [Alimentar Big Data],12703,13074,,,420,1,172,92,2,1,1,3.321,584
"2,73E+19",Meta Ads,11/3/21,11/3/21, Conversiones,1122,1746,,,37,8,16,53,10,2,2,4.866,361
"2,73E+19",Meta Ads,12/3/21,12/3/21, Conversiones,0,0,,,0,7,,19,4,1,,,0
"2,73E+19",Meta Ads,12/3/21,12/3/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,1,,,,,0
"2,73E+19",Meta Ads,13/3/21,13/3/21,<OFF>  Tráfico [Alimentar Big Data],5543,5543,,,165,,54,41,,,,,302
"2,73E+19",Meta Ads,13/3/21,13/3/21, Conversiones,809,1012,,,27,1,11,16,1,2,1,3.690,164
"2,73E+19",Meta Ads,14/3/21,14/3/21,<OFF>  Tráfico [Alimentar Big Data],2796,2811,,,104,,35,31,,,,,144
"2,73E+19",Meta Ads,14/3/21,14/3/21, Conversiones,242,275,,,6,1,1,7,1,,,,57
"2,73E+19",Meta Ads,15/3/21,15/3/21,<OFF>  Tráfico [Alimentar Big Data],7007,7068,,,231,5,80,65,1,,,,346
"2,73E+19",Meta Ads,15/3/21,15/3/21, Conversiones,670,998,,,23,2,10,21,6,2,1,1.872,165
"2,73E+19",Meta Ads,16/3/21,16/3/21,<OFF>  Tráfico [Alimentar Big Data],12023,12695,,,363,1,164,111,4,1,1,2.990,650
"2,73E+19",Meta Ads,16/3/21,16/3/21, Conversiones,964,1536,,,31,5,10,29,9,1,1,3.344,303
"2,73E+19",Meta Ads,17/3/21,17/3/21,<OFF>  Tráfico [Alimentar Big Data],13003,13003,,,321,1,125,89,8,3,,,690
"2,73E+19",Meta Ads,17/3/21,17/3/21, Conversiones,1065,1742,,,30,2,9,44,4,1,1,22.629,361
"2,73E+19",Meta Ads,18/3/21,18/3/21,<OFF>  Tráfico [Alimentar Big Data],3694,3704,,,134,,55,42,1,,,,190
"2,73E+19",Meta Ads,18/3/21,18/3/21, Conversiones,418,520,,,6,2,3,19,5,4,3,5.652,101
"2,73E+19",Meta Ads,19/3/21,19/3/21,<OFF>  Tráfico [Alimentar Big Data],10955,11107,,,308,,104,64,3,1,,,621
"2,73E+19",Meta Ads,19/3/21,19/3/21, Conversiones,1157,1748,,,36,1,6,16,3,2,2,8.211,352
"2,73E+19",Meta Ads,20/3/21,20/3/21,<OFF>  Tráfico [Alimentar Big Data],1542,1545,,,47,,20,12,,,,,91
"2,73E+19",Meta Ads,20/3/21,20/3/21, Conversiones,229,264,,,12,1,6,17,1,1,1,2.390,57
"2,73E+19",Meta Ads,21/3/21,21/3/21,<OFF>  Tráfico [Alimentar Big Data],17604,17953,,,473,4,196,127,,,,,777
"2,73E+19",Meta Ads,21/3/21,21/3/21, Conversiones,1278,1927,,,48,,10,58,5,3,2,7.249,332
"2,73E+19",Meta Ads,22/3/21,22/3/21,<OFF>  Tráfico [Alimentar Big Data],7354,7361,,,200,,86,46,2,1,1,4.302,332
"2,73E+19",Meta Ads,22/3/21,22/3/21, Conversiones,719,993,,,20,,3,41,,,,,182
"2,73E+19",Meta Ads,23/3/21,23/3/21, Conversiones,0,0,,,0,,,7,,,,,0
"2,73E+19",Meta Ads,23/3/21,23/3/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,1,,,,,0
"2,73E+19",Meta Ads,24/3/21,24/3/21,<OFF>  Tráfico [Alimentar Big Data],18811,19230,,,469,1,183,91,2,,,,790
"2,73E+19",Meta Ads,24/3/21,24/3/21, Conversiones,1258,2045,,,71,4,22,67,5,,,,359
"2,73E+19",Meta Ads,25/3/21,25/3/21,<OFF>  Tráfico [Alimentar Big Data],7858,7858,,,196,,94,33,,,,,392
"2,73E+19",Meta Ads,25/3/21,25/3/21, Conversiones,793,1056,,,21,2,5,41,9,3,2,5.380,204
"2,73E+19",Meta Ads,26/3/21,26/3/21,<OFF>  Tráfico [Alimentar Big Data],10015,10015,,,269,,112,43,,,,,556
"2,73E+19",Meta Ads,26/3/21,26/3/21, Conversiones,1019,1347,1,,19,2,8,26,,,,,231
"2,73E+19",Meta Ads,27/3/21,27/3/21,<OFF>  Tráfico [Alimentar Big Data],18308,18902,,,480,5,205,156,12,5,,,923
"2,73E+19",Meta Ads,27/3/21,27/3/21, Conversiones,1252,1991,,,31,,9,16,1,3,2,3.189,380
"2,73E+19",Meta Ads,28/3/21,28/3/21,<OFF>  Tráfico [Alimentar Big Data],23609,23921,,,672,1,261,179,2,,1,4.793,962
"2,73E+19",Meta Ads,28/3/21,28/3/21, Conversiones,1390,2242,,,29,,9,158,4,1,1,5.063,381
"2,73E+19",Meta Ads,29/3/21,29/3/21,<OFF>  Tráfico [Alimentar Big Data],16944,17384,,,428,8,175,153,18,5,3,23.152,809
"2,73E+19",Meta Ads,29/3/21,29/3/21, Conversiones,1111,1837,,,38,2,9,175,6,,,,369
"2,73E+19",Meta Ads,30/3/21,30/3/21,<OFF>  Tráfico [Alimentar Big Data],15056,15527,,,415,3,164,126,1,,,,782
"2,73E+19",Meta Ads,30/3/21,30/3/21, Conversiones,1112,1759,,,37,7,12,39,4,1,2,8.872,393
"2,73E+19",Meta Ads,31/3/21,31/3/21,<OFF>  Tráfico [Alimentar Big Data],19476,20179,,,551,1,196,134,1,,,,948
"2,73E+19",Meta Ads,31/3/21,31/3/21, Conversiones,1191,1950,,,36,6,10,49,3,1,1,2.052,396
"2,73E+19",Meta Ads,1/4/21,1/4/21,<OFF>  Tráfico [Alimentar Big Data],23824,24539,,,648,4,247,160,4,,,,866
"2,73E+19",Meta Ads,1/4/21,1/4/21, Conversiones,1392,2272,,,33,,9,25,,,,,385
"2,73E+19",Meta Ads,2/4/21,2/4/21,<OFF>  Tráfico [Alimentar Big Data],23698,24447,,,626,3,235,159,7,2,2,5.722,803
"2,73E+19",Meta Ads,2/4/21,2/4/21, Conversiones,1436,2392,,,23,,7,24,2,1,,,407
"2,73E+19",Meta Ads,3/4/21,3/4/21,<OFF>  Tráfico [Alimentar Big Data],3320,3339,,,79,,37,30,,,,,108
"2,73E+19",Meta Ads,3/4/21,3/4/21, Conversiones,289,330,,,8,,3,2,,1,1,2.197,58
"2,73E+19",Meta Ads,4/4/21,4/4/21,<OFF>  Tráfico [Alimentar Big Data],27265,28999,,,751,3,243,161,1,,,,896
"2,73E+19",Meta Ads,4/4/21,4/4/21, Conversiones,1754,2675,,,51,,17,53,8,1,1,1.940,350
"2,73E+19",Meta Ads,5/4/21,5/4/21,<OFF>  Tráfico [Alimentar Big Data],24055,25306,,,776,3,255,166,1,,,,913
"2,73E+19",Meta Ads,5/4/21,5/4/21, Conversiones,1494,2556,,,46,5,16,39,6,5,1,6.362,403
"2,73E+19",Meta Ads,6/4/21,6/4/21,<OFF>  Tráfico [Alimentar Big Data],20304,20877,,,529,1,176,134,,,,,846
"2,73E+19",Meta Ads,6/4/21,6/4/21, Conversiones,1470,2420,,,39,10,11,45,7,5,2,7.667,414
"2,73E+19",Meta Ads,7/4/21,7/4/21,<OFF>  Tráfico [Alimentar Big Data],21557,22182,,,506,4,153,118,3,,,,826
"2,73E+19",Meta Ads,7/4/21,7/4/21, Conversiones,1377,2272,,,40,2,10,36,7,3,1,3.956,401
"2,73E+19",Meta Ads,8/4/21,8/4/21,<OFF>  Tráfico [Alimentar Big Data],2424,2438,,,82,1,30,35,9,1,1,11.803,105
"2,73E+19",Meta Ads,8/4/21,8/4/21, Conversiones,355,432,,,6,,2,15,4,2,1,8.305,68
"2,73E+19",Meta Ads,9/4/21,9/4/21,<OFF>  Tráfico [Alimentar Big Data],9048,9192,,,241,4,79,72,3,1,1,2.887,574
"2,73E+19",Meta Ads,9/4/21,9/4/21, Conversiones,758,966,,,13,1,1,14,2,,,,164
"2,73E+19",Meta Ads,10/4/21,10/4/21,<OFF>  Tráfico [Alimentar Big Data],25448,26607,,,765,7,262,183,3,3,1,2.061,1.417
"2,73E+19",Meta Ads,10/4/21,10/4/21, Conversiones,1244,2016,,,39,2,11,62,30,,,,405
"2,73E+19",Meta Ads,11/4/21,11/4/21,<OFF>  Tráfico [Alimentar Big Data],29024,30929,1,,1078,9,340,309,24,2,1,20.464,1.549
"2,73E+19",Meta Ads,11/4/21,11/4/21, Conversiones,1348,2198,,,35,6,10,66,14,2,,,415
"2,73E+19",Meta Ads,12/4/21,12/4/21,<OFF>  Tráfico [Alimentar Big Data],16504,17771,,,607,2,173,143,3,,,,994
"2,73E+19",Meta Ads,12/4/21,12/4/21, Conversiones,1348,2238,,,54,10,12,45,12,5,1,9.560,423
"2,73E+19",Meta Ads,13/4/21,13/4/21, Conversiones,1294,2071,,,42,4,15,67,6,3,,,429
"2,73E+19",Meta Ads,13/4/21,13/4/21,<OFF>  Tráfico <Performance Big Data>,2938,2971,,,76,1,19,25,,,,,178
"2,73E+19",Meta Ads,13/4/21,13/4/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,6,,,,,0
"2,73E+19",Meta Ads,14/4/21,14/4/21,<OFF>  Tráfico <Performance Big Data>,8242,8898,1,,291,,90,80,1,,,,537
"2,73E+19",Meta Ads,14/4/21,14/4/21, Conversiones,1457,2310,,,35,1,11,39,10,6,3,5.732,432
"2,73E+19",Meta Ads,14/4/21,14/4/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,6,,,,,0
"2,73E+19",Meta Ads,15/4/21,15/4/21,<OFF>  Tráfico <Performance Big Data>,9022,9379,,,276,1,99,61,2,,,,476
"2,73E+19",Meta Ads,15/4/21,15/4/21, Conversiones,1441,2575,,,57,4,18,33,14,3,1,22.595,407
"2,73E+19",Meta Ads,15/4/21,15/4/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,1,,,,,0
"2,73E+19",Meta Ads,16/4/21,16/4/21,<OFF>  Tráfico <Performance Big Data>,8893,9232,,,256,,102,44,1,,,,519
"2,73E+19",Meta Ads,16/4/21,16/4/21, Conversiones,1259,2365,,,45,1,10,59,5,2,,,402
"2,73E+19",Meta Ads,16/4/21,16/4/21,<OFF>  Tráfico [Alimentar Big Data],0,0,,,0,,,5,,,,,0
"2,73E+19",Meta Ads,17/4/21,17/4/21,<OFF>  Tráfico <Performance Big Data>,10455,10734,,,316,3,144,67,1,1,1,2.690,594
"2,73E+19",Meta Ads,17/4/21,17/4/21, Conversiones,1297,2359,,,34,3,9,24,7,1,1,18.240,403
"2,73E+19",Meta Ads,18/4/21,18/4/21,<OFF>  Tráfico <Performance Big Data>,13465,13818,,,370,1,137,101,5,,,,627
"2,73E+19",Meta Ads,18/4/21,18/4/21, Conversiones,1370,2646,,,45,,17,28,2,2,2,14.323,414
"2,73E+19",Meta Ads,19/4/21,19/4/21,<OFF>  Tráfico <Performance Big Data>,10751,10971,,,305,2,109,70,2,1,,,503
"2,73E+19",Meta Ads,19/4/21,19/4/21, Conversiones,1260,2485,,,37,4,8,39,7,5,1,17.940,412
"2,73E+19",Meta Ads,19/4/21,19/4/21, Msjs,10,10,,,0,,,,,,,,4
"2,73E+19",Meta Ads,20/4/21,20/4/21,<OFF>  Tráfico <Performance Big Data>,10083,10316,,,298,,126,89,4,1,,,499
"2,73E+19",Meta Ads,20/4/21,20/4/21, Conversiones,1267,2450,,,40,,7,12,1,1,2,12.360,439
"2,73E+19",Meta Ads,20/4/21,20/4/21, Msjs,357,594,,,31,,,,,,,,233
"2,73E+19",Meta Ads,21/4/21,21/4/21,<OFF>  Tráfico <Performance Big Data>,9085,9446,1,,334,2,99,68,,,,,533
"2,73E+19",Meta Ads,21/4/21,21/4/21, Conversiones,1130,2312,,,44,1,10,27,4,1,,,400
"2,73E+19",Meta Ads,21/4/21,21/4/21, Msjs,310,528,,,29,,,,,,,,215
"2,73E+19",Meta Ads,22/4/21,22/4/21,<OFF>  Tráfico <Performance Big Data>,10803,11059,1,,326,6,106,78,8,2,,,544
"2,73E+19",Meta Ads,22/4/21,22/4/21, Conversiones,1240,2441,,,44,,9,23,1,4,2,8.646,409
"2,73E+19",Meta Ads,22/4/21,22/4/21, Msjs,309,474,,,20,,,,,,,,199
"2,73E+19",Meta Ads,23/4/21,23/4/21,<OFF>  Tráfico <Performance Big Data>,9883,10095,,,326,3,132,113,6,,,,512
"2,73E+19",Meta Ads,23/4/21,23/4/21, Conversiones,1215,2267,,,28,3,7,22,7,4,1,1.692,402
"2,73E+19",Meta Ads,23/4/21,23/4/21, Msjs,358,521,,,11,,,,,,,,217
"2,73E+19",Meta Ads,24/4/21,24/4/21,<OFF>  Tráfico <Performance Big Data>,11140,11173,1,,346,,152,96,1,,,,567
"2,73E+19",Meta Ads,24/4/21,24/4/21, Conversiones,1260,2258,,,35,,13,28,6,1,,,405
"2,73E+19",Meta Ads,24/4/21,24/4/21, Msjs,369,527,,,6,,,,,,,,207
"2,73E+19",Meta Ads,25/4/21,25/4/21,<OFF>  Tráfico <Performance Big Data>,13193,13345,,,429,1,186,118,1,1,,,618
"2,73E+19",Meta Ads,25/4/21,25/4/21, Conversiones,1296,2389,,,44,1,12,23,2,1,1,7.144,436
"2,73E+19",Meta Ads,25/4/21,25/4/21, Msjs,355,526,,,7,,,,,,,,197
"2,73E+19",Meta Ads,26/4/21,26/4/21,<OFF>  Tráfico <Performance Big Data>,12356,12383,,,362,2,139,113,1,1,1,3.231,535
"2,73E+19",Meta Ads,26/4/21,26/4/21, Conversiones,1074,2127,,,55,2,18,41,6,4,,,373
"2,73E+19",Meta Ads,26/4/21,26/4/21, Msjs,339,532,1,,18,,2,,,,,,211
"2,73E+19",Meta Ads,27/4/21,27/4/21,<OFF>  Tráfico <Performance Big Data>,12301,12301,,,356,1,133,123,2,1,1,4.240,492
"2,73E+19",Meta Ads,27/4/21,27/4/21, Conversiones,1206,2380,,,44,1,10,16,9,6,2,9.629,412
"2,73E+19",Meta Ads,27/4/21,27/4/21, Msjs,368,572,,,14,,,,,,,,210
"2,73E+19",Meta Ads,28/4/21,28/4/21,<OFF>  Tráfico <Performance Big Data>,10526,10691,,,329,2,118,109,1,2,,,492
"2,73E+19",Meta Ads,28/4/21,28/4/21, Conversiones,1119,2195,,,54,1,20,40,5,5,1,16.426,404
"2,73E+19",Meta Ads,28/4/21,28/4/21, Msjs,433,642,,,9,,,,,,,,208
"2,73E+19",Meta Ads,29/4/21,29/4/21,<OFF>  Tráfico <Performance Big Data>,10095,10320,,,326,5,111,152,8,1,,,516
"2,73E+19",Meta Ads,29/4/21,29/4/21, Conversiones,1221,2309,,,26,,8,12,5,3,2,14.494,407
"2,73E+19",Meta Ads,29/4/21,29/4/21, Msjs,352,550,,,10,,,,,,,,208
"2,73E+19",Meta Ads,30/4/21,30/4/21,<OFF>  Tráfico <Performance Big Data>,8990,9105,,,266,7,103,123,14,1,1,8.360,453
"2,73E+19",Meta Ads,30/4/21,30/4/21, Conversiones,1372,2386,,,42,5,9,54,20,7,3,14.735,448
"2,73E+19",Meta Ads,30/4/21,30/4/21, Msjs,402,555,,,4,,,,,,,,237
"2,73E+19",Meta Ads,1/5/21,1/5/21,<OFF>  Tráfico <Performance Big Data>,14388,14388,,,420,,183,154,19,3,1,5.195,574
"2,73E+19",Meta Ads,1/5/21,1/5/21, Conversiones,1501,2838,,,49,1,19,21,1,1,,,410
"2,73E+19",Meta Ads,1/5/21,1/5/21, Msjs,438,634,,,12,,1,,,,,,204
"2,73E+19",Meta Ads,2/5/21,2/5/21,<OFF>  Tráfico <Performance Big Data>,16941,17263,,,516,4,228,211,9,1,,,606
"2,73E+19",Meta Ads,2/5/21,2/5/21, Conversiones,1573,3079,,,64,,16,60,3,1,,,414
"2,73E+19",Meta Ads,2/5/21,2/5/21, Msjs,392,579,,,8,,,,,,,,202
"2,73E+19",Meta Ads,3/5/21,3/5/21,<OFF>  Tráfico <Performance Big Data>,11832,11962,,,348,2,155,116,2,2,1,1.393,511
"2,73E+19",Meta Ads,3/5/21,3/5/21, Conversiones,1424,2639,,,51,,17,32,5,2,1,7.759,402
"2,73E+19",Meta Ads,3/5/21,3/5/21, Msjs,376,585,,,5,,,,,,,,211
"2,73E+19",Meta Ads,4/5/21,4/5/21,<OFF>  Tráfico <Performance Big Data>,8533,8762,,,279,1,129,94,7,2,1,6.192,440
"2,73E+19",Meta Ads,4/5/21,4/5/21, Conversiones,944,1526,,,21,,6,20,4,2,1,12.083,225
"2,73E+19",Meta Ads,4/5/21,4/5/21, Msjs,426,617,2,,17,,,,,,,,219
"2,73E+19",Meta Ads,5/5/21,5/5/21,<OFF>  Tráfico <Performance Big Data>,8728,9038,,,292,3,121,123,20,3,,,511
"2,73E+19",Meta Ads,5/5/21,5/5/21, Conversiones,1063,2099,,,22,3,6,22,2,,,,417
"2,73E+19",Meta Ads,5/5/21,5/5/21, Msjs,375,552,,,13,,,,,,,,204
"2,73E+19",Meta Ads,6/5/21,6/5/21,<OFF>  Tráfico <Performance Big Data>,9310,9467,,,366,1,148,86,1,2,1,1.399,513
"2,73E+19",Meta Ads,6/5/21,6/5/21, Conversiones,1021,1934,,,37,2,7,15,3,1,,,397
"2,73E+19",Meta Ads,6/5/21,6/5/21, Msjs,386,578,,,14,,,,,,,,207
"2,73E+19",Meta Ads,7/5/21,7/5/21,<OFF>  Tráfico <Performance Big Data>,7795,8143,,,366,4,109,72,6,3,1,956,490
